Date,ASIAN Open,ASIAN High,ASIAN Low,ASIAN Close,ASIAN Adj Close,ASIAN Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,Drop Down,,,,Date,Dmart High,ASIAN High
3/24/2021,2410.300049,2470,2410,2443.550049,2368.210938,4132092,2967,2967,2841.75,2855.75,2855.75,25783,,,Dmart High,,,,3/24/2021,2967,2470
3/25/2021,2450.949951,2469,2392,2402.199951,2328.135986,2272545,2872,2890.600098,2775,2795.25,2795.25,48610,,,ASIAN High,,,,3/25/2021,2890.600098,2469
3/26/2021,2425,2513.949951,2409.100098,2505.149902,2427.911621,3084607,2827,2897,2807.199951,2854.800049,2854.800049,23383,,,Dmart,,,,3/26/2021,2897,2513.949951
3/30/2021,2539.100098,2583.449951,2521.5,2578.050049,2498.564209,2332884,2897,2916.350098,2808.850098,2834.350098,2834.350098,27046,,,,,,,3/30/2021,2916.350098,2583.449951
3/31/2021,2578.050049,2582.949951,2531,2537.399902,2459.167725,1616044,2890,2890,2830,2854.050049,2854.050049,17028,,,,,,,3/31/2021,2890,2582.949951
4/1/2021,2532,2564.550049,2532,2551.75,2473.075195,1219588,2890,2925,2860,2911.399902,2911.399902,14970,,,,,,,4/1/2021,2925,2564.550049
4/5/2021,2558,2558,2484.5,2510.649902,2433.241943,1268939,2909.949951,2909.949951,2795,2848.399902,2848.399902,21311,,OPEN,2855.75,,,,4/5/2021,2909.949951,2558
4/6/2021,2526,2620,2504.5,2611.600098,2531.079834,3372846,2879,2879,2824.399902,2844.850098,2844.850098,54802,,HIGH,48610,,,,4/6/2021,2879,2620
4/7/2021,2605,2668.050049,2600.100098,2628.600098,2547.555908,1937977,2850,2898.449951,2836.050049,2889.199951,2889.199951,37262,,LOW,0,,,,4/7/2021,2898.449951,2668.050049
4/8/2021,2630,2658.399902,2628,2650.649902,2568.925781,897483,2899.899902,2955.649902,2897.600098,2935.350098,2935.350098,23204,,52 WEEK HIGH,2677,,,,4/8/2021,2955.649902,2658.399902
4/9/2021,2635,2655,2610.149902,2630.800049,2549.687744,1185017,2939,2972,2920,2947.550049,2947.550049,14850,,52 WEEK LOW,5899.899902,,,,4/9/2021,2972,2655
4/12/2021,2578.199951,2610,2555,2602.199951,2521.969482,1427691,2923,2923,2790,2816.25,2816.25,28663,,,,,,,4/12/2021,2923,2610
4/13/2021,2600,2626,2564.300049,2570.699951,2491.440674,1200230,2822.199951,2884.25,2812.050049,2834.550049,2834.550049,31399,,,,,,,4/13/2021,2884.25,2626
4/15/2021,2590,2593.550049,2537,2587.699951,2507.916748,1209829,2803,2950,2803,2932.75,2932.75,35167,,,,,,,4/15/2021,2950,2593.550049
4/16/2021,2587.600098,2693.5,2581.699951,2663.699951,2581.57373,2760777,2938,2981.949951,2893.699951,2919.399902,2919.399902,46711,,,,,,,4/16/2021,2981.949951,2693.5
4/19/2021,2650,2650,2566.850098,2571.899902,2492.604248,1552036,2872.300049,2872.300049,2817,2852.699951,2852.699951,16843,,,,,,,4/19/2021,2872.300049,2650
4/20/2021,2600,2604.699951,2528.800049,2553.649902,2474.91626,1489287,2880,2889.199951,2756.550049,2778.300049,2778.300049,33616,,,,,,,4/20/2021,2889.199951,2604.699951
4/22/2021,2555.649902,2557,2488,2511.25,2433.823975,1690758,2785,2791.449951,2678.300049,2715.649902,2715.649902,80781,,,,,,,4/22/2021,2791.449951,2557
4/23/2021,2527.100098,2565,2496.199951,2517.949951,2440.317627,1614593,2715.649902,2746.199951,2677,2711.850098,2711.850098,23137,,,,,,,4/23/2021,2746.199951,2565
4/26/2021,2530,2575,2530,2557.899902,2479.035645,1103980,2740,2820.300049,2721,2807.949951,2807.949951,27467,,,,,,,4/26/2021,2820.300049,2575
4/27/2021,2545,2579.899902,2534,2574.350098,2494.978271,866331,2824,2864.949951,2811.050049,2827.75,2827.75,21917,,,,,,,4/27/2021,2864.949951,2579.899902
4/28/2021,2588,2620.25,2575,2614.550049,2533.938965,1065561,2865,2952.949951,2849,2936.949951,2936.949951,61905,,,,,,,4/28/2021,2952.949951,2620.25
4/29/2021,2630,2642,2570,2613.449951,2532.872559,1295346,2949.949951,2986.899902,2879.949951,2900,2900,48397,,,,,,,4/29/2021,2986.899902,2642
4/30/2021,2595,2605.800049,2524.050049,2536.399902,2458.198486,1384907,2899,2930,2820,2858.550049,2858.550049,17987,,,,,,,4/30/2021,2930,2605.800049
5/3/2021,2510,2595.100098,2505.600098,2582.149902,2502.537598,1034774,2835,2910,2820.800049,2897.600098,2897.600098,26570,,,,,,,5/3/2021,2910,2595.100098
5/4/2021,2605,2617.949951,2571.550049,2587.149902,2507.383545,1058140,2914,2934.800049,2850,2858.949951,2858.949951,11954,,,,,,,5/4/2021,2934.800049,2617.949951
5/5/2021,2617,2617,2546.100098,2567.649902,2488.484863,1220186,2884,2889,2854.149902,2875.649902,2875.649902,16494,,,,,,,5/5/2021,2889,2617
5/6/2021,2579.850098,2581.850098,2528,2549.050049,2470.458496,1518119,2861,2893.649902,2851,2878.050049,2878.050049,13623,,,,,,,5/6/2021,2893.649902,2581.850098
5/7/2021,2555,2590,2541.5,2551.649902,2472.978516,1416102,2895,2954.949951,2851,2888.75,2888.75,17826,,,,,,,5/7/2021,2954.949951,2590
5/10/2021,2589,2589,2542.149902,2556.949951,2478.114746,1526814,2939,2957.600098,2840.199951,2853.199951,2853.199951,40512,,,,,,,5/10/2021,2957.600098,2589
5/11/2021,2533,2562,2521.300049,2556.25,2477.436523,1168363,2841.399902,2884,2823.899902,2849.649902,2849.649902,31143,,,,,,,5/11/2021,2884,2562
5/12/2021,2577,2588.949951,2530,2556.199951,2477.387939,2085630,2865,2873.050049,2829.899902,2856.199951,2856.199951,11513,,,,,,,5/12/2021,2873.050049,2588.949951
5/14/2021,2620,2835.25,2601.550049,2774.5,2688.957275,10543708,2875,2875,2830,2843.050049,2843.050049,20575,,,,,,,5/14/2021,2875,2835.25
5/17/2021,2782,2824.199951,2747.550049,2782.75,2696.952881,2134352,2864,2909,2841.800049,2895.600098,2895.600098,19884,,,,,,,5/17/2021,2909,2824.199951
5/18/2021,2797,2845,2789,2821.800049,2734.799316,1328605,2915,3079,2913.5,3054.5,3054.5,44509,,,,,,,5/18/2021,3079,2845
5/19/2021,2805.149902,2849,2798.649902,2815.850098,2729.032471,1219067,3071,3094.800049,3009.149902,3024.449951,3024.449951,54046,,,,,,,5/19/2021,3094.800049,2849
5/20/2021,2814,2845,2778.5,2794.100098,2707.953125,1211975,3044.449951,3052.25,3000.050049,3025.75,3025.75,14489,,,,,,,5/20/2021,3052.25,2845
5/21/2021,2807,2854,2795,2832.5,2745.169678,1328308,3055,3068.850098,3014.350098,3032.449951,3032.449951,24280,,,,,,,5/21/2021,3068.850098,2854
5/24/2021,2846,2849,2808.199951,2819.199951,2732.279053,813091,3060,3061.699951,3019.399902,3036.75,3036.75,15829,,,,,,,5/24/2021,3061.699951,2849
5/25/2021,2836.899902,2922.649902,2822.75,2914.399902,2824.543945,2730112,3059.899902,3122.399902,3055,3103.25,3103.25,25818,,,,,,,5/25/2021,3122.399902,2922.649902
5/26/2021,2939.850098,2947.899902,2910.399902,2941.600098,2850.905518,1250531,3129.600098,3135,3070,3095.899902,3095.899902,17227,,,,,,,5/26/2021,3135,2947.899902
5/27/2021,2950,2965,2902.25,2949.350098,2858.416504,2415085,3099.899902,3109.699951,3007.050049,3026.600098,3026.600098,11491,,,,,,,5/27/2021,3109.699951,2965
5/28/2021,2958.149902,2963.800049,2931.149902,2940.699951,2850.032959,711383,3050,3103.550049,2995.199951,3018.149902,3018.149902,36493,,,,,,,5/28/2021,3103.550049,2963.800049
5/31/2021,2938,2989.949951,2936.100098,2977.5,2885.698486,2093635,3048,3084.199951,3021.449951,3070.300049,3070.300049,15052,,,,,,,5/31/2021,3084.199951,2989.949951
6/1/2021,2965,2982.600098,2915.100098,2931,2840.632324,1194073,3070.300049,3089.800049,3033,3045.449951,3045.449951,26384,,,,,,,6/1/2021,3089.800049,2982.600098
6/2/2021,2918.850098,2933.75,2877.149902,2903.699951,2814.173828,2067842,3068,3092,3052.899902,3065.649902,3065.649902,21144,,,,,,,6/2/2021,3092,2933.75
6/3/2021,2919.600098,2942,2904.050049,2935.350098,2844.848145,1404434,3089,3200,3076.5,3192.5,3192.5,39506,,,,,,,6/3/2021,3200,2942
6/4/2021,2953,2990,2908,2924.899902,2834.720459,1509084,3234.399902,3256.75,3170,3195.699951,3195.699951,23965,,,,,,,6/4/2021,3256.75,2990
6/7/2021,2930,2941,2903.949951,2933.100098,2842.667725,802415,3230,3235,3178.5,3189.449951,3189.449951,14005,,,,,,,6/7/2021,3235,2941
6/8/2021,2928,2944.25,2907.5,2926.25,2836.028564,762931,3181,3212.649902,3164.449951,3177.899902,3177.899902,17063,,,,,,,6/8/2021,3212.649902,2944.25
6/9/2021,2930.800049,2965,2919.600098,2943.550049,2852.795166,1340352,3190,3256.5,3160,3193.100098,3193.100098,25405,,,,,,,6/9/2021,3256.5,2965
6/10/2021,2945,2959.300049,2920.649902,2950.600098,2873.784424,1344559,3209.800049,3240,3182.449951,3194.449951,3194.449951,7525,,,,,,,6/10/2021,3240,2959.300049
6/11/2021,2960,2971.600098,2938.600098,2956.25,2879.286865,878445,3220,3224.899902,3161.649902,3174.550049,3174.550049,9913,,,,,,,6/11/2021,3224.899902,2971.600098
6/14/2021,2955.100098,2970,2916.5,2949.899902,2873.102295,746823,3180,3292.850098,3109,3272.550049,3272.550049,23812,,,,,,,6/14/2021,3292.850098,2970
6/15/2021,2970,3050,2960.949951,3042.199951,2962.999756,2262031,3300,3392.949951,3295,3359.550049,3359.550049,58142,,,,,,,6/15/2021,3392.949951,3050
6/16/2021,3029,3042.199951,3005.5,3018.699951,2940.111084,859505,3360.050049,3394,3276.050049,3304.899902,3304.899902,35704,,,,,,,6/16/2021,3394,3042.199951
6/17/2021,3017.949951,3073.949951,3000.5,3060.300049,2980.628662,1533864,3291,3305,3262.75,3287.550049,3287.550049,11865,,,,,,,6/17/2021,3305,3073.949951
6/18/2021,3061.550049,3077.800049,3016.050049,3047.199951,2967.869629,2293860,3310,3373.149902,3253,3317.5,3317.5,76978,,,,,,,6/18/2021,3373.149902,3077.800049
6/21/2021,3024.199951,3079.149902,3021.050049,3068.550049,2988.663818,720491,3320,3320.050049,3275.350098,3311.399902,3311.399902,12527,,,,,,,6/21/2021,3320.050049,3079.149902
6/22/2021,3085,3092.850098,3004.199951,3010.800049,2932.417236,1199238,3344.399902,3408,3290,3372.899902,3372.899902,46948,,,,,,,6/22/2021,3408,3092.850098
6/23/2021,3030,3030,2983.5,2987.350098,2909.577637,1009007,3400,3400,3300.949951,3312.75,3312.75,17625,,,,,,,6/23/2021,3400,3030
6/24/2021,2987.350098,3049.699951,2975.449951,3043.25,2964.022461,985596,3330,3355,3303.300049,3322.75,3322.75,18603,,,,,,,6/24/2021,3355,3049.699951
6/25/2021,3030.199951,3053.5,2985,3003.899902,2925.696777,786964,3315,3345,3308.050049,3315.25,3315.25,6186,,,,,,,6/25/2021,3345,3053.5
6/28/2021,3024,3038.850098,2976.25,2982.949951,2905.291992,891695,3332.5,3353,3278,3335.149902,3335.149902,11206,,,,,,,6/28/2021,3353,3038.850098
6/29/2021,2989,3023.850098,2973.050049,3001.5,2923.359375,1242734,3349,3350,3251.649902,3270.850098,3270.850098,16590,,,,,,,6/29/2021,3350,3023.850098
6/30/2021,2999,3030,2985.649902,2992.699951,2914.788086,924522,3275,3356.449951,3275,3342.399902,3342.399902,20381,,,,,,,6/30/2021,3356.449951,3030
7/1/2021,3008,3026.899902,2997,3021.600098,2942.935791,848235,3344.600098,3376.149902,3307,3314.5,3314.5,6908,,,,,,,7/1/2021,3376.149902,3026.899902
7/2/2021,3032.949951,3038.800049,2999.75,3005,2926.768066,805542,3326,3342.899902,3305.199951,3313.300049,3313.300049,8150,,,,,,,7/2/2021,3342.899902,3038.800049
7/5/2021,3020,3050,3007.100098,3014.800049,2936.312988,863343,3384,3394.75,3341,3359.949951,3359.949951,20883,,,,,,,7/5/2021,3394.75,3050
7/6/2021,3003,3029.5,2996,3002.5,2924.333252,762630,3374.399902,3425,3331.25,3361.25,3361.25,21364,,,,,,,7/6/2021,3425,3029.5
7/7/2021,3065,3069,3011.25,3040.100098,2960.954346,1234865,3395,3400,3330,3395.050049,3395.050049,10657,,,,,,,7/7/2021,3400,3069
7/8/2021,3050,3059,3018.800049,3028.300049,2949.461182,907391,3393,3419.850098,3368.75,3388,3388,9644,,,,,,,7/8/2021,3419.850098,3059
7/9/2021,3022,3039.149902,3007,3010.600098,2932.222168,547082,3399,3399,3363.899902,3378.949951,3378.949951,6647,,,,,,,7/9/2021,3399,3039.149902
7/12/2021,3034.899902,3042.850098,2991.050049,2999.399902,2921.313965,765566,3375,3399,3311.699951,3347.050049,3347.050049,109734,,,,,,,7/12/2021,3399,3042.850098
7/13/2021,3020,3021.100098,2985.350098,2993.850098,2915.908447,703484,3321,3369.300049,3309.25,3355.850098,3355.850098,20079,,,,,,,7/13/2021,3369.300049,3021.100098
7/14/2021,3003,3007.75,2984.199951,3001.949951,2923.797363,470744,3350,3350.300049,3319,3329.149902,3329.149902,14107,,,,,,,7/14/2021,3350.300049,3007.75
7/15/2021,3010,3011,2971.100098,2983.600098,2905.925293,635535,3311,3360,3310,3319.300049,3319.300049,8936,,,,,,,7/15/2021,3360,3011
7/16/2021,2994,3006,2965,2989.300049,2911.476807,1062548,3342,3363.600098,3328,3349.399902,3349.399902,11923,,,,,,,7/16/2021,3363.600098,3006
7/19/2021,2989.300049,2999.699951,2965,2981.949951,2904.318115,837836,3320,3347,3316,3331.149902,3331.149902,84974,,,,,,,7/19/2021,3347,2999.699951
7/20/2021,2996,3179.5,2979.550049,3159.050049,3076.807373,6755922,3335,3418.75,3335,3398.800049,3398.800049,28314,,,,,,,7/20/2021,3418.75,3179.5
7/22/2021,3130,3165,3090,3106.75,3025.869141,1982572,3425,3446.199951,3384,3396.5,3396.5,24220,,,,,,,7/22/2021,3446.199951,3165
7/23/2021,3106,3129.600098,3078.050049,3083.75,3003.468018,815329,3439.5,3439.5,3393.5,3412.050049,3412.050049,7506,,,,,,,7/23/2021,3439.5,3129.600098
7/26/2021,3079.949951,3119,3051.199951,3061.199951,2981.504883,1136884,3419,3499,3401,3485.600098,3485.600098,13921,,,,,,,7/26/2021,3499,3119
7/27/2021,3079.399902,3081.5,3021.300049,3028.649902,2949.802246,904289,3492,3535,3465.350098,3498.100098,3498.100098,24377,,,,,,,7/27/2021,3535,3081.5
7/28/2021,3030.350098,3033,2984,3004.100098,2925.891602,996594,3520,3520,3442.75,3486.550049,3486.550049,8309,,,,,,,7/28/2021,3520,3033
7/29/2021,3004.100098,3039.949951,2990.300049,2997.449951,2919.414307,762683,3515,3522.449951,3491,3501.100098,3501.100098,5873,,,,,,,7/29/2021,3522.449951,3039.949951
7/30/2021,3008,3008.649902,2951.899902,2958.449951,2881.429932,1067423,3505,3519,3476,3500.550049,3500.550049,5888,,,,,,,7/30/2021,3519,3008.649902
8/2/2021,2985.600098,2986.800049,2960.649902,2974.050049,2896.623535,832285,3535,3535,3488,3500.899902,3500.899902,6054,,,,,,,8/2/2021,3535,2986.800049
8/3/2021,3020,3065,2994.199951,3027,2948.195313,2433031,3520,3580,3508,3566.850098,3566.850098,13827,,,,,,,8/3/2021,3580,3065
8/4/2021,3040.600098,3053.300049,3012,3018.600098,2940.01416,659295,3562,3608,3536.649902,3592.199951,3592.199951,18773,,,,,,,8/4/2021,3608,3053.300049
8/5/2021,3034,3040,2980.050049,2988.399902,2910.599854,693694,3619.399902,3621,3551,3562.600098,3562.600098,6992,,,,,,,8/5/2021,3621,3040
8/6/2021,2995,3001,2961.449951,2966.449951,2889.221436,744159,3560,3625,3522.050049,3529.050049,3529.050049,8907,,,,,,,8/6/2021,3625,3001
8/9/2021,2994.649902,3015,2973.050049,2992.550049,2914.64209,825462,3535,3576.25,3500,3522.300049,3522.300049,11349,,,,,,,8/9/2021,3576.25,3015
8/10/2021,2998,3008.300049,2960.550049,2977.149902,2899.642822,724335,3557.899902,3583.699951,3516.399902,3550.649902,3550.649902,9004,,,,,,,8/10/2021,3583.699951,3008.300049
8/11/2021,2987.399902,3001.449951,2952.550049,2972.600098,2895.211914,987941,3560,3574.899902,3467.149902,3562.550049,3562.550049,8943,,,,,,,8/11/2021,3574.899902,3001.449951
8/12/2021,2974,2985.25,2958,2975.5,2898.035889,438552,3570,3591.649902,3548.300049,3562.550049,3562.550049,5049,,,,,,,8/12/2021,3591.649902,2985.25
8/13/2021,2980.899902,3002,2973.100098,2988.699951,2910.892578,572250,3571,3630,3520,3593.649902,3593.649902,28507,,,,,,,8/13/2021,3630,3002
8/16/2021,2980,2984.149902,2960,2971.399902,2894.04248,461742,3609,3655.949951,3566.800049,3633.5,3633.5,16501,,,,,,,8/16/2021,3655.949951,2984.149902
8/17/2021,2974,3044,2973.100098,3015.300049,2936.799805,2036757,3640,3645.699951,3603,3632.5,3632.5,9440,,,,,,,8/17/2021,3645.699951,3044
8/18/2021,3048,3048,2992.550049,3001.550049,2923.407715,1375320,3636,3669.800049,3626.649902,3651.550049,3651.550049,10853,,,,,,,8/18/2021,3669.800049,3048
8/20/2021,3001.5,3124.050049,3001.5,3112.949951,3031.907471,3931334,3655,3707.550049,3620,3641.800049,3641.800049,23860,,,,,,,8/20/2021,3707.550049,3124.050049
8/23/2021,3159.050049,3163.850098,3051,3077.449951,2997.331787,1578949,3662,3700,3645.300049,3673.050049,3673.050049,7436,,,,,,,8/23/2021,3700,3163.850098
8/24/2021,3092.800049,3092.800049,3034.550049,3045.949951,2966.651855,763704,3709.899902,3766.25,3682,3708.850098,3708.850098,20799,,,,,,,8/24/2021,3766.25,3092.800049
8/25/2021,3026,3070,3012.600098,3038.050049,2958.957764,797870,3740,3843.399902,3720,3789.100098,3789.100098,32022,,,,,,,8/25/2021,3843.399902,3070
8/26/2021,3064,3084.5,3026.199951,3039.649902,2960.515869,1319516,3810,3888,3802.25,3845.100098,3845.100098,19871,,,,,,,8/26/2021,3888,3084.5
8/27/2021,3040.449951,3057.949951,3020.5,3036.800049,2957.73999,634375,3904.949951,3909.5,3810.100098,3829.800049,3829.800049,20585,,,,,,,8/27/2021,3909.5,3057.949951
8/30/2021,3056.699951,3114.25,3048.050049,3108.75,3027.816895,1051747,3870,3900,3835,3890.100098,3890.100098,14714,,,,,,,8/30/2021,3900,3114.25
8/31/2021,3108.75,3210,3103.050049,3201.350098,3118.006348,2283290,3900,3979.149902,3872,3955.300049,3955.300049,718464,,,,,,,8/31/2021,3979.149902,3210
9/1/2021,3230.050049,3333,3215,3302.75,3216.766846,2423168,3985,4012.699951,3960.300049,3969.050049,3969.050049,20413,,,,,,,9/1/2021,4012.699951,3333
9/2/2021,3312.949951,3319,3266.649902,3301.600098,3215.646484,847517,3985,3985,3913,3919.649902,3919.649902,21124,,,,,,,9/2/2021,3985,3319
9/3/2021,3301.600098,3344.949951,3286.5,3338.800049,3251.87793,832039,3936,3962.550049,3920.550049,3939.949951,3939.949951,16956,,,,,,,9/3/2021,3962.550049,3344.949951
9/6/2021,3342,3347.699951,3305.899902,3315.550049,3229.233154,664394,3973.699951,3973.699951,3902.25,3920.75,3920.75,17152,,,,,,,9/6/2021,3973.699951,3347.699951
9/7/2021,3333.5,3394.600098,3323.850098,3336.25,3249.394287,1285818,3935,3963.600098,3875.100098,3936.600098,3936.600098,12603,,,,,,,9/7/2021,3963.600098,3394.600098
9/8/2021,3345,3361.550049,3297,3336.600098,3249.735352,702598,3955,3976.899902,3924.449951,3933.350098,3933.350098,7887,,,,,,,9/8/2021,3976.899902,3361.550049
9/9/2021,3305,3359,3305,3346.350098,3259.231689,591745,3925.100098,3962,3909.600098,3953.649902,3953.649902,12148,,,,,,,9/9/2021,3962,3359
9/13/2021,3346.600098,3374,3330.350098,3367.050049,3279.392334,610920,3941,3984.949951,3941,3962.25,3962.25,17573,,,,,,,9/13/2021,3984.949951,3374
9/14/2021,3384.899902,3388.600098,3356.850098,3362.5,3274.960938,569412,3975,4000,3963.5,3979.949951,3979.949951,20509,,,,,,,9/14/2021,4000,3388.600098
9/15/2021,3361.850098,3383.949951,3346.949951,3352.300049,3265.026855,587855,3980,3992.5,3957.649902,3981.899902,3981.899902,16045,,,,,,,9/15/2021,3992.5,3383.949951
9/16/2021,3350,3371,3335,3342.100098,3255.092041,516746,3989.899902,4099,3984.949951,4080.850098,4080.850098,29361,,,,,,,9/16/2021,4099,3371
9/17/2021,3352,3382,3285.050049,3303.050049,3217.058594,1545695,4115,4293.75,4111.799805,4241.899902,4241.899902,33568,,,,,,,9/17/2021,4293.75,3382
9/20/2021,3299.949951,3315,3265,3271.550049,3186.378906,689288,4215,4432.25,4150,4362.200195,4362.200195,45936,,,,,,,9/20/2021,4432.25,3315
9/21/2021,3271.550049,3335,3271,3309.199951,3223.04834,922057,4415,4450,4303.850098,4367.100098,4367.100098,49014,,,,,,,9/21/2021,4450,3335
